,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
843,2.595,-10.56709152,249.28974606,2.667,,2.533,2.684,,1.72,2.578,,HD 149757,,Zeta Oph,,,
844,2.84,21.14254411,84.41118926,3.047,,3.001,2.808,,2.14,3.03,,HD 37202,,Zeta Tau,,,
845,3.640,64.37585053,211.09729148,3.633,,3.434,3.639,,3.520,3.680,,HD 123299,,alfa Dra,,,
846,0.91,-11.16131949,201.29824736,1.615,,1.461,1.694,,-0.19,1.04,,HD 116658,,alfa Vir,,,
847,1.19,19.18240916,213.91530029,-2.81,0.40,-2.25,-2.91,0.3,,-0.04,,HD 124897,,alp Boo,,,
848,2.244,26.71469278,233.67195002,2.39,2.2,2.25,2.21,2.2,,2.214,,HD 139006,,alp CrB,,,
849,3.640,64.37585053,211.09729148,3.633,,3.434,3.639,,3.520,3.680,,HD 123299,,alp Dra,,,
850,1.24,11.96720878,152.09296244,1.658,1.5,1.665,1.62,1.4,,1.40,,HD 87901,,alp Leo,,,
851,0.03,38.78368896,279.23473479,-0.03,0.2,-0.18,0.13,0.1,,0.03,,HD 172167,,alp Lyr,,,
852,2.27,7.407064,88.79293899,-4.01,,-2.99,-4.38,,4.38,0.42,,HD 39801,,alp Ori,,,
853,0.91,-11.16131949,201.29824736,1.615,,1.461,1.694,,-0.19,1.04,,HD 116658,,alp Vir,,,
854,0.99,8.8683212,297.6958273,0.102,0.6,0.313,0.102,0.8,,0.77,,HD 187642,,alpha Aql,,,
855,1.19,19.18240916,213.91530029,-2.81,0.40,-2.25,-2.91,0.3,,-0.04,,HD 124897,,alpha Boo,,,
856,-1.46,-16.71611587,101.28715535,-1.391,,-1.391,-1.390,,,-1.47,,HD 48915,,alpha CMa,,,
857,0.74,5.22498756,114.82549791,-0.666,0.9,-0.498,-0.658,0.7,,0.34,,HD 61421,,alpha CMi,,,
858,4.289,66.3426768,73.51254332,4.380,,4.243,4.242,,3.55,4.301,,HD 30614,,alpha Cam,,,
859,3.434,56.53733116,10.12683778,-0.210,,0.311,-0.303,,,2.252,,HD 3712,,alpha Cas,,,
860,2.244,26.71469278,233.67195002,2.39,2.2,2.25,2.21,2.2,,2.214,,HD 139006,,alpha CrB,,,
861,3.640,64.37585053,211.09729148,3.633,,3.434,3.639,,3.520,3.680,,HD 123299,,alpha Dra,,,
862,1.24,11.96720878,152.09296244,1.658,1.5,1.665,1.62,1.4,,1.40,,HD 87901,,alpha Leo,,,
863,0.03,38.78368896,279.23473479,-0.03,0.2,-0.18,0.13,0.1,,0.03,,HD 172167,,alpha Lyr,,,
864,2.286,49.8611793,51.08070872,0.413,,0.830,0.520,,,1.816,,HD 20902,,alpha Per,,,
865,0.91,-11.16131949,201.29824736,1.615,,1.461,1.694,,-0.19,1.04,,HD 116658,,alpha Vir,,,
866,,,,,,,,,,,,,,alphaBoo,,,
867,,,,,,,,,,,,,,alphaCas,,,
868,,,,,,,,,,,,,,alphacas,,,
869,,,,,,,,,,,,,,altair-pokus,,,
870,4.652,50.2955016,64.56090374,4.454,4.44,4.425,4.324,,,4.598,,HD 26961,,b Per,,,
871,,,,,,,,,,,,,,bPer,,,
872,2.814,8.28931576,111.78767391,3.109,,3.061,3.101,,2.53,2.886,,HD 58715,,bet CMi,,,
873,3.015,70.56071519,322.16498688,,,,,,2.06,3.216,,HD 205021,,bet Cep,,,
874,5.027,27.9652764,292.68914764,5.258,,5.208,5.258,,4.69,5.088,,HD 183914,,bet Cyg B,,,
875,3.52,33.36266944,282.5199802,3.351,,3.367,3.192,,2.85,3.52,,HD 174638,,bet Lyr,,,
876,4.48,-7.03305836,97.20445712,,,,,,,4.62,,HD 45725,,bet Mon A,,,
877,,,,,,,,,,,,,,bet Mon B+C?,,,
878,0.09,-8.20163836,78.63446707,0.176,,0.206,0.213,,-0.55,0.12,,HD 34085,,bet Ori,,,
879,4.376,3.82004617,345.96922289,4.808,,4.764,4.750,,3.92,4.486,,HD 217891,,bet Psc,,,
880,3.64,35.62055765,17.43301617,-1.674,0.4,-0.957,-1.846,1.2,,2.06,,HD 6860,,bet and,,,
881,,,,,,,,,,,,,,betLyr,,,
882,2.814,8.28931576,111.78767391,3.109,,3.061,3.101,,2.53,2.886,,HD 58715,,bet_CMi,,,
883,2.814,8.28931576,111.78767391,3.109,,3.061,3.101,,2.53,2.886,,HD 58715,,beta CMi,,,
884,2.61,59.1497811,2.29452158,1.585,1.9,1.714,1.454,2.0,,2.27,,HD 432,,beta Cas,,,
885,3.015,70.56071519,322.16498688,,,,,,2.06,3.216,,HD 205021,,beta Cep,,,
886,3.52,33.36266944,282.5199802,3.351,,3.367,3.192,,2.85,3.52,,HD 174638,,beta Lyr,,,
887,7.05,33.351855,282.52793875,7.421,,7.318,7.455,,,7.13,,HD 174664,,beta Lyr B,,,
888,3.52,33.36266944,282.5199802,3.351,,3.367,3.192,,2.85,3.52,,HD 174638,,beta LyrB,,,
889,0.09,-8.20163836,78.63446707,0.176,,0.206,0.213,,-0.55,0.12,,HD 34085,,beta Ori,,,
890,2.07,40.95564668,47.04221855,1.95,,1.96,1.89,,,2.12,,HD 19356,,beta Per,,,
891,4.376,3.82004617,345.96922289,4.808,,4.764,4.750,,3.92,4.486,,HD 217891,,beta Psc,,,
892,3.52,33.36266944,282.5199802,3.351,,3.367,3.192,,2.85,3.52,,HD 174638,,beta lyr,,,
893,4.996,32.19202092,83.18197132,4.077,,4.246,3.999,,4.64,4.744,,HD 36371,,chi Aur,,,
894,8.35,32.91405824,297.64135163,-1.101,,0.168,-1.695,,,6.80,,HD 187796,,chi Cyg,,,
895,4.70,-18.45624827,246.75597912,3.149,,3.404,2.885,,3.95,4.42,,HD 148184,,chi Oph,,,
896,5.680,21.03465016,17.86341155,2.513,,3.074,2.481,,,4.666,,HD 7087,,chi Psc,,,
897,4.996,32.19202092,83.18197132,4.077,,4.246,3.999,,4.64,4.744,,HD 36371,,chi aur,,,
898,,,,,,,,,,,,,,chiAur,,,
899,4.81,58.4151983,337.29277091,2.608,3.219,2.865,2.354,,,4.07,,HD 213306,,del Cep,,,
900,2.01,-0.29909511,83.00166706,2.981,,2.744,3.023,,0.96,2.41,,HD 36486,,del Ori,,,
901,2.205,-22.62170643,240.08335535,2.432,,2.410,2.427,,1.3,2.291,,HD 143275,,del Sco,,,
902,4.382,86.58646066,263.05415296,4.331,,4.052,4.258,,,4.348,,HD 166205,,del UMi,,,
903,4.81,58.4151983,337.29277091,2.608,3.219,2.865,2.354,,,4.07,,HD 213306,,del cep,,,
904,2.01,-0.29909511,83.00166706,2.981,,2.744,3.023,,0.96,2.41,,HD 36486,,del ori,,,
905,,,,,,,,,,,,,,delOri,,,
906,4.81,58.4151983,337.29277091,2.608,3.219,2.865,2.354,,,4.07,,HD 213306,,delta Cep,,,
907,4.94,-8.5189462,225.24312556,4.714,,4.715,4.622,,,4.95,,HD 132742,,delta Lib,,,
908,2.01,-0.29909511,83.00166706,2.981,,2.744,3.023,,0.96,2.41,,HD 36486,,delta Ori,,,
909,2.205,-22.62170643,240.08335535,2.432,,2.410,2.427,,1.3,2.291,,HD 143275,,delta Sco,,,
910,6.64,46.47684467,178.77395519,,,,,,,6.54,,HD 103483,,dn uma,,,
911,,,,,,,,,,,,,,dzeta Tau,,,
912,3.527,43.8233072,75.49221855,1.702,,1.880,1.533,,3.86,3.039,,HD 31964,,eps Aur,,,
913,4.33,-19.46601288,324.27012783,,,,,,3.86,4.50,,HD 205637,,eps Cap,,,
914,3.218,63.67010079,28.59885697,3.934,,3.864,3.963,,2.61,3.342,,HD 11415,,eps Cas,,,
915,2.733,40.01021532,59.46346687,,,,,,1.73,2.901,,HD 24760,,eps Per,,,
916,4.086,-27.04361546,340.1639198,4.365,,4.281,4.400,,3.69,4.180,,HD 214748,,eps PsA,,,
917,3.527,43.8233072,75.49221855,1.702,,1.880,1.533,,3.86,3.039,,HD 31964,,eps aur,,,
918,,,,,,,,,,,,,,epsAur,,,
919,3.527,43.8233072,75.49221855,1.702,,1.880,1.533,,3.86,3.039,,HD 31964,,epsilon Aur,,,
920,3.527,43.8233072,75.49221855,1.702,,1.880,1.533,,3.86,3.039,,HD 31964,,epsilon Aurigae,,,
921,2.733,40.01021532,59.46346687,,,,,,1.73,2.901,,HD 24760,,epsilon Per,,,
922,,,,,,,,,,,,,,epsilonAur,,,
923,3.21,-2.39714754,81.11923634,3.997,,3.967,3.900,,2.27,3.38,,HD 35411,,eta Ori,,,
924,2.806,24.10513565,56.87115231,2.735,2.88,2.735,2.636,,2.44,2.873,,HD 23630,,eta Tau,,,
925,1.755,49.31326673,206.88515734,2.408,,2.228,2.265,,,1.852,,HD 120315,,eta UMa,,,
926,1.755,49.31326673,206.88515734,2.408,,2.228,2.265,,,1.852,,HD 120315,,eta Uma,,,
927,,,,,,,,,,,,,,etaLyr,,,
928,,,,,,,,,,,,,,etaUMa,,,
929,14.0,48.60052778,58.73645833,3.448,,4.683,2.529,13.000,,,,,,fi Per,,,
930,6.19,41.88167795,247.16061911,-1.850,,-0.955,,,,4.91,,HD 148783,,g Her,,,
931,4.677,71.33226347,57.58962049,,,,,,,4.622,,HD 23401,,gam Cam,,,
932,2.29,60.71674028,14.17721542,1.993,2.40,2.039,1.756,2.32,1.24,2.47,,HD 5394,,gam Cas,,,
933,2.898,40.25667916,305.55709098,0.852,,1.369,0.827,,3.44,2.237,,HD 194093,,gam Cyg,,,
934,2.450,53.69475973,178.45769715,2.487,,2.381,2.429,,2.440,2.440,,HD 103287,,gam UMa,,,
935,2.29,60.71674028,14.17721542,1.993,2.40,2.039,1.756,2.32,1.24,2.47,,HD 5394,,gam cas,,,
936,,,,,,,,,,,,,,gamCas,,,
937,,,,,,,,,,,,,,gama Cas,,,
938,2.29,60.71674028,14.17721542,1.993,2.40,2.039,1.756,2.32,1.24,2.47,,HD 5394,,gamma Cas,,,
939,3.84,26.29563463,235.68568964,3.691,,3.620,3.670,,,3.84,,HD 140436,,gamma CrB,,,
940,2.898,40.25667916,305.55709098,0.852,,1.369,0.827,,3.44,2.237,,HD 194093,,gamma Cyg,,,
941,3.760,51.48889562,269.15154118,-1.034,,-0.245,-1.162,,5.630,2.230,,HD 164058,,gamma Dra,,,
942,3.085,71.83401655,230.18215017,2.767,,2.900,2.705,,,3.027,,HD 137422,,gamma UMi,,,
943,10.68,64.30323333,354.4304,10.049,,10.095,10.021,10.5,,10.50,,,,gsc4288-0186,,,
944,6.488,39.59353978,304.35490363,6.513,,6.509,6.461,,6.25,6.554,,HD 193182,,hd 193182,,,
945,8.49,43.43572923,75.39288029,8.411,,8.401,8.422,,7.79,8.49,,HD 31894,,hd 31894,,,
946,6.79,47.6422946,15.97232876,6.883,,6.820,6.886,,6.18,6.82,,HD 6226,,hd 6226,,,
947,9.57,26.35103194,156.02458167,8.397,,8.561,8.359,,,9.26,,HD 90052,,hd 90052,,,
948,5.167,46.11413399,312.23454662,4.049,,4.182,3.946,,4.8,4.858,,HD 198478,,hd198478,,,
949,7.192,-11.77419415,88.68179305,2.156,,2.895,1.979,,,5.635,,HD 39853,,hd39853,,,
950,6.79,47.6422946,15.97232876,6.883,,6.820,6.886,,6.18,6.82,,HD 6226,,hd6226,,,
951,9.90,41.52180524,283.97840168,7.488,,7.788,7.432,,,9.13,,,,hip92922,,,
952,9.20,44.55740484,287.45625955,8.410,,8.458,8.382,,,8.95,,HD 179259,,hip94145,,,
953,9.54,50.93117308,293.23496959,8.001,,8.140,7.954,,,9.08,,HD 184659,,hip96146,,,
954,9.919,43.87371891,294.71283014,7.203,8.3,7.616,7.125,8.6,,9.132,,,,hip96634,,,
955,9.855,50.77273357,296.37641985,7.096,8.0,7.473,7.034,8.4,,8.956,,HD 187055,,hip97219,,,
956,,,,,,,,,,,,,,hr 1847a,,,
957,5.143,36.10015704,286.8255366,5.487,,5.370,5.470,,4.66,5.249,,HD 178475,,iot Lyr,,,
958,2.53,-5.90990098,83.85825795,3.648,,3.490,3.752,,1.44,2.77,,HD 37043,,iota Ori,,,
959,2.53,-5.90990098,83.85825795,3.648,,3.490,3.752,,1.44,2.77,,HD 37043,,iota ori,,,
960,,,,,,,,,,,,,,k Dra,,,
961,3.766,69.78823584,188.37059686,3.908,,3.823,3.820,,3.17,3.881,,HD 109387,,kap Dra,,,
962,,,,,,,,,,,,,,kapDra,,,
963,3.766,69.78823584,188.37059686,3.908,,3.823,3.820,,3.17,3.881,,HD 109387,,kappa Dra,,,
964,3.766,69.78823584,188.37059686,3.908,,3.823,3.820,,3.17,3.881,,HD 109387,,kappa_dra,,,
965,4.080,35.79103145,59.74125955,4.070,,3.987,3.953,,3.190,4.060,,HD 24912,,ksi Per,,,
966,3.663,9.73267621,51.79229464,3.738,,3.622,3.779,,,3.727,,HD 21364,,ksi Tau,,,
967,3.663,9.73267621,51.79229464,3.738,,3.622,3.779,,,3.727,,HD 21364,,ksi tau,,,
968,,,,,,,,,,,,,,ksiTau,,,
969,4.63,36.49071491,311.85224026,,,,,,4.26,4.75,,HD 198183,,lam Cyg,,,
970,4.067,-8.75408079,77.28659645,4.832,,4.854,4.713,,3.17,4.249,,HD 33328,,lam Eri,,,
971,3.20,9.93415587,83.78449002,,,,,,,3.39,,HD 36861J,,lam Ori,,,
972,5.25,59.4144874,332.87739877,4.618,,5.053,4.500,,4.56,5.08,,HD 210839,,lambda Cep,,,
973,6.30,58.7800445,325.87692107,-1.264,,-0.326,-1.620,,,4.04,,HD 206936,,mu Cep,,,
974,3.87,-3.25466015,71.3756266,4.567,,4.670,4.395,,3.26,4.00,,HD 30211,,mu Eri,,,
975,4.00,20.2121349,97.24077556,4.523,,4.585,4.346,,3.54,4.14,,HD 45542,,nu  Gem,,,
976,3.955,41.16713864,314.29341278,3.690,,3.652,3.524,,,3.939,,HD 199629,,nu Cyg,,,
977,4.00,20.2121349,97.24077556,4.523,,4.585,4.346,,3.54,4.14,,HD 45542,,nu Gem,,,
978,,,,,,,,,,,,,,o And,,,
979,,,,,,,,,,,,,,o Cas,,,
980,3.870,-26.77266936,108.70272445,4.494,,4.543,4.374,,2.95,4.028,,HD 56139,,ome CMa,,,
981,4.46,4.12146652,84.79644299,4.924,,5.012,4.805,,3.70,4.57,,HD 37490,,ome Ori,,,
982,3.870,-26.77266936,108.70272445,4.494,,4.543,4.374,,2.95,4.028,,HD 56139,,omega CMa,,,
983,,,,,,,,,,,,,,omega CMa?,,,
984,4.46,4.12146652,84.79644299,4.924,,5.012,4.805,,3.70,4.57,,HD 37490,,omega Ori,,,
985,3.552,42.3259815,345.48026914,3.841,,3.827,3.886,,3.00,3.633,,HD 217676,,omi And,,,
986,4.63,-2.15536298,330.82851679,4.809,,4.865,4.661,,4.22,4.70,,HD 209409,,omi Aqr,,,
987,4.432,48.28436488,11.18132777,,,,,,3.96,4.477,,HD 4180,,omi Cas,,,
988,3.821,28.76249107,271.88562802,3.960,,3.968,3.954,,3.74,3.837,,HD 166014,,omi Her,,,
989,3.871,32.28824802,56.07971685,3.75,,3.61,3.72,,3.14,3.855,,HD 23180,,omi Per,,,
990,4.45,-25.93717008,117.02153497,4.435,,4.568,4.165,,3.43,4.50,,HD 63462,,omi Pup,,,
991,,,,,,,,,,,,,,omiAnd,,,
992,,,,,,,,,,,,,,omiCas,,,
993,,,,,,,,,,,,,,omiPup,,,
994,3.552,42.3259815,345.48026914,3.841,,3.827,3.886,,3.00,3.633,,HD 217676,,omicron And,,,
995,4.432,48.28436488,11.18132777,,,,,,3.96,4.477,,HD 4180,,omicron Cas,,,
996,3.821,28.76249107,271.88562802,3.960,,3.968,3.954,,3.74,3.837,,HD 166014,,omicron Her,,,
997,4.197,47.24179429,17.3755234,,,,,,3.84,4.252,,HD 6811,,phi And,,,
998,5.599,58.23161232,20.0204876,3.537,,3.751,3.186,,6.18,5.010,,HD 7927A,,phi Cas,,,
999,4.00,50.68873134,25.915158,,,,,,3.10,4.09,,HD 10516,,phi Per,,,
1000,,,,,,,,,,,,,,phiPer,,,
1001,4.626,1.3773985,336.31926188,5.365,,5.305,5.351,,3.65,4.794,,HD 212571,,pi Aqr,,,
1002,4.255,48.19263304,54.12241593,,,,,,3.60,4.310,,HD 22192,,psi Per,,,
1003,5.763,46.2739963,104.13357464,5.977,,5.908,5.986,,5.29,5.841,,HD 50658,,psi09 Aur,,,
1004,5.073,41.80457265,80.45173543,5.531,,5.437,5.581,,,5.200,,HD 34759,,rho Aur,,,
1005,3.720,9.30658596,158.20279865,4.264,,4.266,4.275,,2.780,3.870,,HD 91316,,rho Leo,,,
1006,5.073,41.80457265,80.45173543,5.531,,5.437,5.581,,,5.200,,HD 34759,,rho aur,,,
1007,3.720,9.30658596,158.20279865,4.264,,4.266,4.275,,2.780,3.870,,HD 91316,,rho leo,,,
1008,,,,,,,,,,,,,,rhoAur,,,
1009,5.073,41.80457265,80.45173543,5.531,,5.437,5.581,,,5.200,,HD 34759,,ro Aur,,,
1010,10.14,67.57738841,46.94061257,5.618,,6.243,5.435,,,9.00,,,,rx cas,,,
1011,,65.59938889,114.32091667,,,,,,,11.2,,,,sn2004dj,,,
1012,,,,,,,,,,,,,,szcam,,,
1013,4.98,17.45690422,206.8155975,3.55,4.0,3.62,3.36,4.2,,4.49,,HD 120136,,tau Boo,,,
1014,4.22,-15.93747951,26.01701409,1.800,,2.149,1.794,,,3.50,,HD 10700,,tau Cet,,,
1015,,,,,,,,,,,,,,tauBoo,,,
1016,4.036,31.35913227,233.2324256,,,,,,3.47,4.153,,HD 138749,,tet CrB,,,
1017,4.036,31.35913227,233.2324256,,,,,,3.47,4.153,,HD 138749,,the CrB,,,
1018,4.036,31.35913227,233.2324256,,,,,,3.47,4.153,,HD 138749,,theta CrB,,,
1019,5.15,-5.38968015,83.81859898,4.48,,4.63,4.41,,4.18,5.13,,HD 37022,,theta1 Ori C,,,
1020,6.79,-5.38765726,83.82163535,5.89,,6.01,5.751,,5.96,6.71,,HD 37023,,theta1 Ori D,,,
1021,3.600,15.87088182,67.16558623,2.997,,2.994,2.880,,3.690,3.410,,HD 28319,,theta2 Tau,,,
1022,,,,,,,,,,,,,,theta2tau,,,
1023,,,,,,,,,,,,,,thetaCrB,,,
1024,10.03,18.8924599,246.44779864,-0.233,,0.858,-0.634,,,8.50,,HD 148206,,u Her,,,
1025,,,,,,,,,,,,,,uHer,,,
1026,4.63,41.40545674,24.19934235,2.96,3.5,3.17,2.86,3.8,,4.10,,HD 9826,,ups And,,,
1027,4.32,34.89689692,319.4794794,4.540,,4.701,4.478,,3.50,4.43,,HD 202904,,ups Cyg,,,
1028,4.643,-15.95501735,290.43176182,3.385,,4.153,2.624,,4.18,4.578,,HD 181616,,ups Sgr,,,
1029,,,,,,,,,,,,,,ups Sqr,,,
1030,4.63,41.40545674,24.19934235,2.96,3.5,3.17,2.86,3.8,,4.10,,HD 9826,,ups and,,,
1031,4.643,-15.95501735,290.43176182,3.385,,4.153,2.624,,4.18,4.578,,HD 181616,,upsilon Sgr,,,
1032,6.98,3.76132737,293.40383037,,,,,,6.63,6.98,,HD 184279,,v1294 Aql,,,
1033,8.27,36.42559883,300.92332375,,,,,,7.92,8.18,,HD 190467,,v1362 Cyg,,,
1034,,,,,,,,,,,,,,v1924Aql,,,
1035,11.5,39.49723833,305.76505708,5.800,,6.979,4.679,,11.62,10.6,,,,v1972 Cyg,,,
1036,11.5,39.49723833,305.76505708,5.800,,6.979,4.679,,11.62,10.6,,,,v1972cyg,,,
1037,11.98,31.10558889,299.13141667,6.10,,7.096,5.379,,11.68,10.92,,,,v2028 Cyg,,,
1038,11.98,31.10558889,299.13141667,6.10,,7.096,5.379,,11.68,10.92,,,,v2028cyg,,,
1039,9.20,54.4848827,329.62400304,7.861,,7.977,7.697,,8.66,8.94,,HD 235679,,v2174 cyg,,,
1040,6.594,57.11399616,310.80701267,5.643,,5.617,5.621,,6.17,6.341,,HD 197770,,v379 Cep,,,
1041,6.594,57.11399616,310.80701267,5.643,,5.617,5.621,,6.17,6.341,,HD 197770,,v379cep,,,
1042,12.67,-6.0770251,277.35705216,8.159,,9.309,6.208,,12.55,11.60,,,,v431sct,,,
1043,6.760,61.96294676,349.11271209,5.943,,6.005,5.973,,6.130,6.550,,HD 219634,,v649 cas,,,
1044,7.26,58.21182887,2.90477772,6.43,,6.490,6.332,,6.86,7.08,,HD 698,,v742 Cas,,,
1045,6.84,-1.50718202,85.23487683,7.424,,7.287,7.415,,5.97,6.98,,HD 37776,,v901 Ori,,,
1046,8.74,13.93086776,92.11397541,8.861,,8.807,8.867,,,8.79,,HD 252248,,v917 ori,,,
1047,6.067,3.44440538,292.63801325,5.897,,5.960,5.814,,5.69,6.089,,HD 183656,,v923aql,,,
1048,0.03,38.78368896,279.23473479,-0.03,0.2,-0.18,0.13,0.1,,0.03,,HD 172167,,vega,,,
1049,,,,,,,,,,,,,,yps Sgr,,,
1050,3.483,53.89690758,9.24285078,4.248,,4.135,4.247,,2.58,3.666,,HD 3360,,zet Cas,,,
1051,5.11,-22.21590028,185.140175,5.336,,5.313,5.318,,4.73,5.22,,HD 107348,,zet Crv,,,
1052,2.595,-10.56709152,249.28974606,2.667,,2.533,2.684,,1.72,2.578,,HD 149757,,zet Oph,,,
1053,2.84,21.14254411,84.41118926,3.047,,3.001,2.808,,2.14,3.03,,HD 37202,,zet Tau,,,
1054,4.329,77.79449412,236.01466214,,,,,,,4.283,,HD 142105,,zet Umi,,,
1055,2.595,-10.56709152,249.28974606,2.667,,2.533,2.684,,1.72,2.578,,HD 149757,,zet oph,,,
1056,4.08,54.92177778,200.98454167,,,,2.821,,,3.95,,HD 116657,,zet2 UMa,,,
1057,2.595,-10.56709152,249.28974606,2.667,,2.533,2.684,,1.72,2.578,,HD 149757,,zeta Oph,,,
1058,2.84,21.14254411,84.41118926,3.047,,3.001,2.808,,2.14,3.03,,HD 37202,,zeta Tau,,,
1059,,,,,,,,,,,,,,zetoph,,,
